                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4666,                 5.9826,                 1.2649,                0.80816,                0.84255,                0.87624,                0.52319,                 1.1857,                 3.3596,                 1.2771,                0.00065,                0.00065,                0.00065
                      2,                 1.2773,                 1.2287,                 1.2301,                0.02774,                0.44324,                0.02223,                0.01094,                 1.7162,                 17.833,                 1.8088,              0.0013115,              0.0013115,              0.0013115
                      3,                 1.2686,                 1.1044,                 1.2835,                0.46246,                0.84324,                 0.6851,                0.42038,                 1.3398,                 11.769,                 1.7905,              0.0019676,              0.0019676,              0.0019676
                      4,                 1.3126,                 0.9327,                  1.353,                0.66149,                0.71828,                0.72091,                0.41148,                 1.4258,                   7.11,                 1.9793,              0.0019762,              0.0019762,              0.0019762
                      5,                 1.2812,                0.87558,                 1.2843,                0.91527,                0.87583,                0.91679,                0.53932,                 1.4035,                 3.2785,                 1.9028,              0.0019762,              0.0019762,              0.0019762
                      6,                 1.2758,                0.85384,                 1.3176,                0.76838,                0.77838,                0.83005,                0.46529,                 1.7053,                 2.8263,                 1.9228,              0.0019683,              0.0019683,              0.0019683
                      7,                 1.1956,                0.77967,                 1.2348,                0.91527,                0.87589,                0.91662,                0.55882,                 1.3433,                 1.2993,                 1.5172,              0.0019604,              0.0019604,              0.0019604
                      8,                 1.1804,                0.73252,                 1.2277,                0.95184,                0.91351,                0.95068,                0.64334,                 1.2161,                0.77035,                 1.4464,              0.0019525,              0.0019525,              0.0019525
                      9,                 1.1316,                0.67944,                 1.1919,                0.95728,                0.86486,                0.91647,                0.59957,                 1.2669,                 1.7177,                  1.536,              0.0019446,              0.0019446,              0.0019446
                     10,                 1.1628,                0.69587,                 1.2073,                0.96475,                0.91351,                0.94435,                0.63519,                  1.225,                0.76082,                 1.5078,              0.0019366,              0.0019366,              0.0019366
                     11,                 1.1037,                0.64823,                 1.1788,                0.92317,                0.92973,                0.95676,                0.66328,                 1.1035,                0.73747,                 1.3785,              0.0019287,              0.0019287,              0.0019287
                     12,                 1.1184,                0.64957,                 1.1756,                0.92954,                0.92702,                0.96007,                0.65416,                 1.1393,                0.66437,                 1.3635,              0.0019208,              0.0019208,              0.0019208
                     13,                 1.0752,                0.66758,                 1.1734,                0.95144,                0.95325,                0.96972,                0.68849,                 1.0598,                0.62581,                 1.3153,              0.0019129,              0.0019129,              0.0019129
                     14,                 1.1171,                0.67044,                  1.161,                0.96519,                0.90811,                0.94393,                0.63031,                 1.2373,                0.73926,                 1.3907,               0.001905,               0.001905,               0.001905
                     15,                  1.053,                0.61336,                 1.1558,                0.96309,                0.95676,                0.96979,                0.66143,                 1.1123,                0.65685,                 1.3251,               0.001897,               0.001897,               0.001897
